entity_id,time,value,sex,source_id,processing_level
IN-AC-2008-tamil-nadu-3958,2021,115778,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3958,2021,114032,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3958,2021,11,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3959,2021,130796,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3959,2021,123507,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3959,2021,15,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3960,2021,119076,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3960,2021,115452,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3960,2021,26,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3961,2021,131755,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3961,2021,124740,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3961,2021,23,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3962,2021,131306,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3962,2021,127948,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3962,2021,8,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3963,2021,121767,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3963,2021,119539,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3963,2021,13,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3964,2021,130700,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3964,2021,126222,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3964,2021,8,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3965,2021,86451,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3965,2021,84100,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3965,2021,7,third_gender,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3966,2021,89395,female,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3966,2021,85266,male,src-99455a24d3c4,minor
IN-AC-2008-tamil-nadu-3966,2021,22,third_gender,src-99455a24d3c4,minor
